wbe;jahr;ant_eingetragen
206;2007;0.1
206;2008;0.1
206;2009;0.1
206;2010;0.1
206;2011;0.2
206;2012;0.3
206;2013;0.4
206;2014;0.4
206;2015;0.5
207;2000;0.0
207;2001;0.0
207;2002;0.0
207;2003;0.0
207;2004;0.0
207;2005;0.0
207;2007;0.0
207;2008;0.0
207;2009;0.1
207;2010;0.1
207;2011;0.1
207;2012;0.1
207;2013;0.2
207;2014;0.2
207;2015;0.2
207;2006;0.0
208;2000;0.0
208;2001;0.0
208;2002;0.0
208;2003;0.0
208;2004;0.0
208;2005;0.0
208;2006;0.0
208;2007;0.3
208;2008;0.2
208;2009;0.3
208;2010;0.3
208;2011;0.2
208;2012;0.2
208;2013;0.2
208;2014;0.3
208;2015;0.3
301;2000;0.0
301;2001;0.0
301;2002;0.0
301;2003;0.0
301;2004;0.0
301;2005;0.0
301;2006;0.0
301;2007;0.0
301;2008;0.0
301;2009;0.0
301;2010;0.0
301;2011;0.0
301;2012;0.0
301;2013;0.0
301;2014;0.2
301;2015;0.4
302;2004;0.0
302;2005;0.0
302;2007;0.0
302;2008;0.0
302;2009;0.0
302;2010;0.0
302;2012;0.0
302;2013;0.0
302;2014;0.0
302;2015;0.0
302;2000;0.0
302;2001;0.0
302;2002;0.0
302;2003;0.0
302;2006;0.0
302;2011;0.0
