wbe;jahr;ant_ledig
173;2001;48.2
173;2002;49.2
173;2003;50.0
173;2004;50.4
173;2005;50.0
173;2006;49.9
173;2007;50.5
173;2008;50.7
173;2009;51.2
173;2010;51.5
173;2011;52.1
173;2012;53.0
173;2013;53.5
173;2014;53.7
173;2015;54.6
174;2000;46.3
174;2001;46.8
174;2002;47.4
174;2003;47.3
174;2004;47.8
174;2005;48.3
174;2006;49.2
174;2007;49.5
174;2008;49.9
174;2009;49.8
174;2010;49.5
174;2011;50.2
174;2012;51.2
174;2013;51.8
174;2014;52.1
174;2015;52.4
180;2000;41.7
180;2001;41.9
180;2002;42.5
180;2003;42.5
180;2004;42.5
180;2005;42.8
180;2006;43.1
180;2007;43.9
180;2008;44.9
180;2009;45.5
180;2010;46.0
180;2011;46.2
180;2012;46.5
180;2013;46.8
180;2014;47.0
180;2015;47.5
190;2003;39.2
190;2004;39.6
190;2000;37.5
190;2001;36.9
190;2002;37.8
190;2005;40.0
190;2006;40.5
190;2007;40.8
190;2008;40.9
190;2009;41.7
190;2010;40.7
190;2011;40.5
190;2012;41.5
190;2013;42.2
190;2014;41.9
190;2015;43.1
201;2000;38.7
201;2001;39.0
201;2002;39.5
201;2003;40.3
201;2004;39.7
201;2005;39.9
201;2006;40.3
201;2007;39.3
201;2008;39.2
201;2009;39.4
201;2010;40.2
201;2011;40.1
201;2012;39.6
201;2013;39.1
201;2014;38.9
201;2015;38.9
202;2000;38.2
202;2001;38.0
202;2002;37.1
202;2003;37.1
202;2004;36.1
202;2005;36.0
202;2006;37.4
202;2007;36.9
202;2008;37.9
202;2009;37.7
202;2010;38.1
202;2011;38.4
202;2012;38.2
202;2013;39.1
202;2014;39.8
202;2015;40.1
203;2000;31.3
203;2001;30.6
203;2002;31.5
203;2003;32.4
203;2004;33.3
203;2005;32.5
203;2006;32.2
203;2007;32.4
203;2008;32.3
203;2009;32.3
203;2010;33.0
203;2011;33.8
203;2012;34.3
203;2013;34.7
203;2014;34.3
203;2015;34.9
204;2000;36.4
204;2001;37.8
204;2002;37.4
204;2003;36.4
204;2004;36.3
204;2005;34.9
204;2006;34.6
204;2007;34.1
204;2008;34.4
204;2009;33.9
204;2010;35.0
204;2011;35.4
204;2012;36.0
204;2013;35.5
204;2014;35.3
204;2015;34.9
205;2000;32.3
205;2001;33.3
205;2002;33.3
205;2003;33.1
205;2004;32.7
205;2005;33.0
205;2006;33.1
205;2007;33.2
205;2008;32.5
205;2009;33.5
205;2010;33.5
205;2011;33.9
205;2012;34.1
205;2013;34.3
205;2014;34.7
205;2015;34.2
206;2000;34.8
206;2001;34.9
206;2002;35.3
206;2003;35.9
206;2004;35.7
206;2005;36.3
206;2006;36.9
206;2007;37.1
206;2008;37.8
206;2009;38.0
206;2010;38.0
206;2011;38.1
206;2012;38.0
206;2013;38.9
206;2014;38.9
206;2015;39.2
207;2000;34.6
207;2001;35.0
207;2002;35.2
207;2003;35.9
207;2004;36.3
207;2005;36.7
207;2007;38.2
207;2008;37.7
207;2009;38.3
207;2010;38.2
207;2011;38.1
207;2012;38.1
207;2013;38.6
207;2014;38.8
207;2015;39.5
207;2006;37.3
208;2000;37.9
208;2001;37.3
208;2002;37.5
208;2003;37.0
208;2004;37.3
208;2005;37.0
208;2006;37.6
208;2007;37.4
208;2008;37.2
208;2009;37.0
208;2010;36.6
208;2011;37.1
208;2012;37.1
208;2013;37.1
208;2014;38.2
208;2015;37.7
301;2000;35.8
301;2001;35.6
301;2002;35.4
301;2003;35.1
301;2004;35.2
301;2005;35.7
